ADMIN,TRIPS_WAIVER,TRIPS_WAIVER_1
Zimbabwe,1,Yes
Zambia,1,Yes
Yemen,1,Yes
Vietnam,1,Yes
Venezuela,1,Yes
Vatican,1,Yes
Vanuatu,1,Yes
Uzbekistan,,
Uruguay,,
Federated States of Micronesia,,
Marshall Islands,,
Northern Mariana Islands,,
United States Virgin Islands,,
Guam,,
American Samoa,,
Puerto Rico,,
United States of America,1,Yes
South Georgia and the Islands,,
British Indian Ocean Territory,,
Saint Helena,,
Pitcairn Islands,,
Anguilla,,
Falkland Islands,,
Cayman Islands,,
Bermuda,,
British Virgin Islands,,
Turks and Caicos Islands,,
Montserrat,,
Jersey,,
Guernsey,,
Isle of Man,,
United Kingdom,0,No
United Arab Emirates,,
Ukraine,1,Yes
Uganda,1,Yes
Turkmenistan,,
Turkey,1,Yes
Tunisia,1,Yes
Trinidad and Tobago,1,Yes
Tonga,1,Yes
Togo,1,Yes
East Timor,1,Yes
Thailand,1,Yes
United Republic of Tanzania,1,Yes
Tajikistan,,
Taiwan,,
Syria,,
Switzerland,0,No
Sweden,0,No
eSwatini,1,Yes
Suriname,1,Yes
South Sudan,,
Sudan,1,Yes
Sri Lanka,1,Yes
Spain,0,No
South Korea,,
South Africa,1,Yes
Somalia,1,Yes
Somaliland,,
Solomon Islands,1,Yes
Slovakia,0,No
Slovenia,0,No
Singapore,0,No
Sierra Leone,1,Yes
Seychelles,1,Yes
Republic of Serbia,,
Senegal,1,Yes
Saudi Arabia,,
São Tomé and Principe,1,Yes
San Marino,,
Samoa,1,Yes
Saint Vincent and the Grenadines,1,Yes
Saint Lucia,1,Yes
Saint Kitts and Nevis,1,Yes
Rwanda,1,Yes
Russia,1,Yes
Romania,0,No
Qatar,,
Portugal,0,No
Poland,0,No
Philippines,1,Yes
Peru,,
Paraguay,,
Papua New Guinea,1,Yes
Panama,,
Palau,,
Pakistan,1,Yes
Oman,,
Norway,0,No
North Korea,,
Nigeria,1,Yes
Niger,1,Yes
Nicaragua,1,Yes
New Zealand,1,Yes
Niue,,
Cook Islands,,
Netherlands,0,No
Aruba,,
Curaçao,,
Nepal,1,Yes
Nauru,,
Namibia,1,Yes
Mozambique,1,Yes
Morocco,1,Yes
Western Sahara,,
Montenegro,,
Mongolia,1,Yes
Moldova,,
Monaco,,
Mexico,1,Yes
Mauritius,1,Yes
Mauritania,1,Yes
Malta,0,
Mali,1,Yes
Maldives,1,Yes
Malaysia,,
Malawi,1,Yes
Madagascar,1,Yes
Macedonia,,
Luxembourg,0,No
Lithuania,0,No
Liechtenstein,,
Libya,,
Liberia,1,Yes
Lesotho,1,Yes
Lebanon,,
Latvia,0,No
Laos,1,Yes
Kyrgyzstan,,
Kuwait,,
Kosovo,,
Kiribati,,
Kenya,1,Yes
Kazakhstan,,
Jordan,1,Yes
Japan,2,Maybe
Jamaica,1,Yes
Italy,0,No
Israel,,
Palestine,,
Ireland,0,No
Iraq,,
Iran,,
Indonesia,1,Yes
India,1,Yes
Iceland,,
Hungary,0,No
Honduras,,
Haiti,1,Yes
Guyana,1,Yes
Guinea-Bissau,1,Yes
Guinea,1,Yes
Guatemala,,
Grenada,1,Yes
Greece,0,No
Ghana,1,Yes
Germany,0,No
Georgia,,
Gambia,1,Yes
Gabon,1,Yes
France,0,No
Saint Pierre and Miquelon,,
Wallis and Futuna,,
Saint Martin,,
Saint Barthelemy,,
French Polynesia,,
New Caledonia,,
French Southern and Antarctic Lands,,
Aland,,
Finland,0,No
Fiji,1,Yes
Ethiopia,1,Yes
Estonia,0,No
Eritrea,,
Equatorial Guinea,1,Yes
El Salvador,0,No
Egypt,1,Yes
Ecuador,1,Yes
Dominican Republic,1,Yes
Dominica,1,Yes
Djibouti,1,Yes
Greenland,,
Faroe Islands,,
Denmark,0,No
Czechia,0,No
Northern Cyprus,,
Cyprus,0,No
Cuba,1,Yes
Croatia,0,No
Ivory Coast,1,Yes
Costa Rica,1,Yes
Democratic Republic of the Congo,1,Yes
Republic of the Congo,1,Yes
Comoros,1,Yes
Colombia,2,Maybe
China,1,Yes
Macao S.A.R,,
Hong Kong S.A.R.,,
Chile,2,Maybe
Chad,1,Yes
Central African Republic,1,Yes
Cabo Verde,1,Yes
Canada,2,Maybe
Cameroon,1,Yes
Cambodia,1,Yes
Myanmar,1,Yes
Burundi,1,Yes
Burkina Faso,1,Yes
Bulgaria,0,
Brunei,,
Brazil,1,Yes
Botswana,1,Yes
Bosnia and Herzegovina,,
Bolivia,1,Yes
Bhutan,1,Yes
Benin,1,Yes
Belize,1,Yes
Belgium,0,No
Belarus,,
Barbados,1,Yes
Bangladesh,1,Yes
Bahrain,,
The Bahamas,1,Yes
Azerbaijan,,
Austria,0,No
Australia,0,No
Indian Ocean Territories,,
Heard Island and McDonald Islands,,
Norfolk Island,,
Ashmore and Cartier Islands,,
Armenia,,
Argentina,1,Yes
Antigua and Barbuda,1,Yes
Angola,1,Yes
Andorra,,
Algeria,,
Albania,,
Afghanistan,1,Yes
Siachen Glacier,,
Antarctica,,
Sint Maarten,,
